CA-BG2,CA-FG1,CA-FG2,All,Remove duplicates
,(CADetector)testBank_0x60778Cb37b76e1cCD8E05e25cF712BA5BDA3217a,,(CADetector)Vault_0xd81Fe2C11edD560C4d44fdD4F651f3608452BeEd,"(Xgboost,CADetector)CryptoRoulette_0x1F7725942D18118d34621C6eB106A3F418f66710"
,(CADetector)OpenAddressLottery_0xd1915A2bCC4B77794d64c4e483E43444193373Fa,,(CADetector)Vault_0x1B1C789FCCDfc6A7B1Fef651a1464043f0A38Ada,"(Xgboost,CADetector)MultiFundsWallet_0xd2eA3d1Be7B482966BA8627Ff009b84bAc3Bf51E"
,(CADetector)OpenAddressLottery_0x37EB3cb268a0DD1Bc2c383296fe34F58C5b5dB8B,,(CADetector)Vault_0xfFc80F7403FF8C1AEe200AD110fE0fa28D213445,"(Xgboost,CADetector)PuzzleGift_0x55Bec5649Fbb5f5BE831Ee5b0F7A8a8F02B25144"
,"(Xgboost,CADetector)RedEnvelope_0xcfebf8C78De81f804a694F4Bb401e5D76B298bE5",,"(Xgboost,CADetector)CryptoRoulette_0x1F7725942D18118d34621C6eB106A3F418f66710",(CADetector)firstTest_0x42dB5Bfe8828f12F164586AF8A992B3a7B038164
,,,"(Xgboost,CADetector)MultiFundsWallet_0xd2eA3d1Be7B482966BA8627Ff009b84bAc3Bf51E",(CADetector)testBank_0x47000dE9Ac92E29d4Fee617732fFEedc306Bd10E
,,,"(Xgboost,CADetector)PuzzleGift_0x55Bec5649Fbb5f5BE831Ee5b0F7A8a8F02B25144",(CADetector)testBank_0xC013A9119b4AaEF512b2338026183Db9cD0C4029
,,,(CADetector)firstTest_0x42dB5Bfe8828f12F164586AF8A992B3a7B038164,(CADetector)testBank_0x60778Cb37b76e1cCD8E05e25cF712BA5BDA3217a
,,,(CADetector)testBank_0x47000dE9Ac92E29d4Fee617732fFEedc306Bd10E,(CADetector)OpenAddressLottery_0xd1915A2bCC4B77794d64c4e483E43444193373Fa
,,,(CADetector)testBank_0xC013A9119b4AaEF512b2338026183Db9cD0C4029,(CADetector)OpenAddressLottery_0x37EB3cb268a0DD1Bc2c383296fe34F58C5b5dB8B
,,,(CADetector)testBank_0x60778Cb37b76e1cCD8E05e25cF712BA5BDA3217a,"(Xgboost,CADetector)RedEnvelope_0xcfebf8C78De81f804a694F4Bb401e5D76B298bE5"
,,,(CADetector)OpenAddressLottery_0xd1915A2bCC4B77794d64c4e483E43444193373Fa,
,,,(CADetector)OpenAddressLottery_0x37EB3cb268a0DD1Bc2c383296fe34F58C5b5dB8B,
,,,"(Xgboost,CADetector)RedEnvelope_0xcfebf8C78De81f804a694F4Bb401e5D76B298bE5",
