CA-BG2	CA-FG2	CA-FG1	All	Remove duplicates
"(CADetector,HoneyBadger)Lottery_0x0BF0f154B176C5d90F24e506F10F7F583eB5334d"	"(CADetector,HoneyBadger)PrivateBank_0x23A91059Fdc9579A9Fbd0edc5F2Ea0BFdb70Deb4"	"(CADetector,HoneyBadger)MultiplicatorX2_0xE26E90598190a98C92c75204c9A4eCFe5983F8E0"	"(CADetector,HoneyBadger)Lottery_0x0BF0f154B176C5d90F24e506F10F7F583eB5334d"	"(CADetector,HoneyBadger)Lottery_0x0BF0f154B176C5d90F24e506F10F7F583eB5334d"
"(CADetector,HoneyBadger)AddressLottery_0xd4342DF2C7CfE5938540648582c8D222F1513C50"	"(CADetector,HoneyBadger)QuestionIt_0x19D0321ba91ED5edeC4AFE1DA158a6b06bBA03F0"	(CADetector)CraigHester_0x1d8cd6eAB10ab7d673fA7b4c5f93fe167953D4f9	"(CADetector,HoneyBadger)AddressLottery_0xd4342DF2C7CfE5938540648582c8D222F1513C50"	"(CADetector,HoneyBadger)AddressLottery_0xd4342DF2C7CfE5938540648582c8D222F1513C50"
"(CADetector,HoneyBadger)AddressLottery_0xf8e89D113924300b38615ceB5719709569Ebec6b"	"(CADetector,HoneyBadger)EthReceiver_0xc1d73e148590b60CE9Dd42d141F9B27bBAD07879"	(CADetector)EthVault_0xe78a4Ed7A2d50C7206fEa45dd7418B71a6dE943B	"(CADetector,HoneyBadger)AddressLottery_0xf8e89D113924300b38615ceB5719709569Ebec6b"	"(CADetector,HoneyBadger)AddressLottery_0xf8e89D113924300b38615ceB5719709569Ebec6b"
"(CADetector,HoneyBadger)PreSaleFund_0xd022969da8A1aCe11E2974b3e7EE476c3f9F99c6"	"(CADetector,HoneyBadger)ETH_VAULT_0x8c7777C45481DbA411450c228CB692AC3D550344"	"(CADetector,HoneyBadger)Sandstone_0xaE3Bf0F077ED66DdA9Fb1B5475942c919ef3bb0D"	"(CADetector,HoneyBadger)PreSaleFund_0xd022969da8A1aCe11E2974b3e7EE476c3f9F99c6"	"(CADetector,HoneyBadger)GIFT_SENDER_0x64669148BCA4F3D1216127A46380a67b37BBf63e"
"(CADetector,HoneyBadger)AddressLotteryV2_0x787b9A8978B21476ABb78876F24C49C0e513065E"	"(CADetector,HoneyBadger)TimeCapsuleEvent_0x1767856BC75CF070De5e6Ba3d0c718440F008C66"	"(CADetector,HoneyBadger)MyCompanyWallet_0x787080326E1f7e0Eae490eFdB18E90cFD0aE2692"	"(CADetector,HoneyBadger)AddressLotteryV2_0x787b9A8978B21476ABb78876F24C49C0e513065E"	(CADetector)TokenBank_0x39CFD754c85023648Bf003beA2Dd498c5612AbFA
"(CADetector,HoneyBadger)GIFT_SENDER_0x64669148BCA4F3D1216127A46380a67b37BBf63e"	"(CADetector,HoneyBadger)DepositCapsule_0x340844b39aACbdB4E7718fA14A95758F87A09A9a"	"(CADetector,HoneyBadger)RichestTakeAll_0xe65C53087E1a40b7C53B9A0EA3C2562ae2DFEb24"	"(CADetector,HoneyBadger)GIFT_SENDER_0x64669148BCA4F3D1216127A46380a67b37BBf63e"	"(CADetector,HoneyBadger)TimeCapsuleEvent_0x68563D2a5FC58F88db8140a981170989F001B746"
"(CADetector,HoneyBadger)AddressLotteryV2_0x650734BFd0465b7C6CD2932ea555e721308Fd0b3"	"(CADetector,HoneyBadger)MyDeposit_0x5c8546A7B86bA30202C09a84F5A72644a2A4f7ba"	"(CADetector,HoneyBadger)TestBank_0x70C01853e4430cae353c9a7AE232a6a95f6CaFd9"	"(CADetector,HoneyBadger)AddressLotteryV2_0x650734BFd0465b7C6CD2932ea555e721308Fd0b3"	"(CADetector,HoneyBadger)ETHVault_0xCACF9396A56E9ff1e3F6533bE83A043c36ce0436"
(CADetector)TokenBank_0x39CFD754c85023648Bf003beA2Dd498c5612AbFA	"(CADetector,HoneyBadger)DepositCapsule_0x9168fdC9f9DB7b71865fE4bfD6f78b3610ebc704"	"(CADetector,HoneyBadger)LockedCash_0x81EDEfC64AaBdCe71f68347774bD4673D1D31419"	(CADetector)TokenBank_0x39CFD754c85023648Bf003beA2Dd498c5612AbFA	"(CADetector,HoneyBadger)StaffFunds_0x3526CF7d12C95B11a680678Cc1F705CBa667578d"
"(CADetector,HoneyBadger)TimeCapsuleEvent_0x68563D2a5FC58F88db8140a981170989F001B746"	"(CADetector,HoneyBadger)QuizTime_0x8A36f3e0DA7B36fd22FCf2844C21E812279372AC"	"(CADetector,HoneyBadger)WalletWithEmergencyTransfer_0x98FE1D52649A3A13863647C6789F16E46e090377"	"(CADetector,HoneyBadger)TimeCapsuleEvent_0x68563D2a5FC58F88db8140a981170989F001B746"	"(CADetector,HoneyBadger)TimeCapsuleEvent_0x1767856BC75CF070De5e6Ba3d0c718440F008C66"
"(CADetector,HoneyBadger)ETHVault_0xCACF9396A56E9ff1e3F6533bE83A043c36ce0436"	"(CADetector,HoneyBadger)WhatIsIt_0xeD55fb58EA9de1f484AdDcc970463218b4D89CFE"	(CADetector)SimpleEthBank_0x2C9eb11Db6B0dcb18FE8644003EE53f6B4588341	"(CADetector,HoneyBadger)ETHVault_0xCACF9396A56E9ff1e3F6533bE83A043c36ce0436"	(CADetector)Vault_0x91151ABe8cea8EE574B50cC01c18CE36cbbA3195
"(CADetector,HoneyBadger)StaffFunds_0x3526CF7d12C95B11a680678Cc1F705CBa667578d"	"(CADetector,HoneyBadger)Vault_0xe14F29C22F47d1ca8Dda796a6718C6bd0Be0B3CF"		"(CADetector,HoneyBadger)StaffFunds_0x3526CF7d12C95B11a680678Cc1F705CBa667578d"	(CADetector)SafeDeposit_0x3e365D13828c398d1bd1694aDCe8998Fd0139bA3
"(CADetector,HoneyBadger)TimeCapsuleEvent_0x1767856BC75CF070De5e6Ba3d0c718440F008C66"	(CADetector)SafeDeposit_0xeF6ad5B5e389b3676ca1c666D88821d4d5CAD2ae		"(CADetector,HoneyBadger)TimeCapsuleEvent_0x1767856BC75CF070De5e6Ba3d0c718440F008C66"	"(CADetector,HoneyBadger)ETHDeposit_0x3E7840B88396ACd80bAc66021e1354064461A498"
(CADetector)Vault_0x91151ABe8cea8EE574B50cC01c18CE36cbbA3195	"(CADetector,HoneyBadger)GIFT3600_0x7FfC2bD9431b059c509b45b33e77852d47dE827d"		(CADetector)Vault_0x91151ABe8cea8EE574B50cC01c18CE36cbbA3195	"(CADetector,HoneyBadger)AdminInterface_0xa91a453aBDe404A303FB118c46E00C8F630216a9"
(CADetector)SafeDeposit_0x3e365D13828c398d1bd1694aDCe8998Fd0139bA3	"(CADetector,HoneyBadger)QUIZ_GAME_0x129e719C424a7A6fBdeB7Ca3d65186892D54eA8C"		(CADetector)SafeDeposit_0x3e365D13828c398d1bd1694aDCe8998Fd0139bA3	(HoneyBadger)ICO_0xd3bd3c8FB11429b0DEEe5301E72B66FBa29782C0
"(CADetector,HoneyBadger)ETHDeposit_0x3E7840B88396ACd80bAc66021e1354064461A498"	"(CADetector,HoneyBadger)GIFT_1_ETH_0x6594aC0a2bA54885ff7d314eb27C9694cB25698b"		"(CADetector,HoneyBadger)ETHDeposit_0x3E7840B88396ACd80bAc66021e1354064461A498"	"(CADetector,HoneyBadger)ETHVault_0x96050DA7c01bbd4891eD766720A5C1C79b824163"
"(CADetector,HoneyBadger)AdminInterface_0xa91a453aBDe404A303FB118c46E00C8F630216a9"	"(CADetector,HoneyBadger)PresaleHold_0xB31820C1D84E183377030B6D3F0E1Ee5C1CfF643"		"(CADetector,HoneyBadger)AdminInterface_0xa91a453aBDe404A303FB118c46E00C8F630216a9"	"(CADetector,HoneyBadger)MyNewBank_0x52c2d09aCf0eF12C487aE0C20a92d4F9A4aBBfD1"
(HoneyBadger)ICO_0xd3bd3c8FB11429b0DEEe5301E72B66FBa29782C0	"(CADetector,HoneyBadger)PIGGY_BANK_0xE610AF01F92f19679327715B426c35849C47c657"		(HoneyBadger)ICO_0xd3bd3c8FB11429b0DEEe5301E72B66FBa29782C0	(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b
"(CADetector,HoneyBadger)ETHVault_0x96050DA7c01bbd4891eD766720A5C1C79b824163"	(CADetector)NewLottery_0x26B5962250B779ab0F33970738A46FcFb00a70b9		"(CADetector,HoneyBadger)ETHVault_0x96050DA7c01bbd4891eD766720A5C1C79b824163"	"(CADetector,HoneyBadger)joojinta_0xc0c7d89e4968775931E53E9510EBaD43644B0866"
"(CADetector,HoneyBadger)ETHDeposit_0x3E7840B88396ACd80bAc66021e1354064461A498"			"(CADetector,HoneyBadger)ETHDeposit_0x3E7840B88396ACd80bAc66021e1354064461A498"	"(CADetector,HoneyBadger)MultiplicatorX2_0xE26E90598190a98C92c75204c9A4eCFe5983F8E0"
"(CADetector,HoneyBadger)MyNewBank_0x52c2d09aCf0eF12C487aE0C20a92d4F9A4aBBfD1"			"(CADetector,HoneyBadger)MyNewBank_0x52c2d09aCf0eF12C487aE0C20a92d4F9A4aBBfD1"	"(CADetector,HoneyBadger)MyCompanyWallet_0x78faF034C61F4158a4A12Bfa372187a21405Ae33"
"(CADetector,HoneyBadger)ETHDeposit_0x3E7840B88396ACd80bAc66021e1354064461A498"			"(CADetector,HoneyBadger)ETHDeposit_0x3E7840B88396ACd80bAc66021e1354064461A498"	"(CADetector,HoneyBadger)AddressLotteryV2_0xe19Ca313512e0231340e778Abe7110401C737c23"
(HoneyBadger)MultiplicatorX2_0xE26E90598190a98C92c75204c9A4eCFe5983F8E0			(HoneyBadger)MultiplicatorX2_0xE26E90598190a98C92c75204c9A4eCFe5983F8E0	"(CADetector,HoneyBadger)Multiplicator_0xdf77e4a81fbA17e0Cc39Dba521AA4167f388ed7C"
(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b			(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b	"(CADetector,HoneyBadger)SiriusFund_0x58978e8CaCcf56faDAA80Ef52f5c684045306839"
(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b			(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b	"(CADetector,HoneyBadger)PinCodeStorage_0x1EBf20031b03B80E5f6FdbEB9F86d44145224006"
"(CADetector,HoneyBadger)joojinta_0xc0c7d89e4968775931E53E9510EBaD43644B0866"			"(CADetector,HoneyBadger)joojinta_0xc0c7d89e4968775931E53E9510EBaD43644B0866"	"(CADetector,HoneyBadger)ETH_FOR_ANSWER_0x59434a7b9aEEbE94045D3715aa020F6a1d7875aD"
(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b			(CADetector)myPreICO_0x35E44051799Bd7CeA091C4faD2cBA9b37e364C5b	"(CADetector,HoneyBadger)PAY_FOR_ANSWER_0x137e531680b5D1F5645Cd73a450323f1645d5034"
"(CADetector,HoneyBadger)MultiplicatorX2_0xE26E90598190a98C92c75204c9A4eCFe5983F8E0"			"(CADetector,HoneyBadger)MultiplicatorX2_0xE26E90598190a98C92c75204c9A4eCFe5983F8E0"	"(CADetector,HoneyBadger)ETH_FUND_0x941d225236464A25EB18076dF7dA6a91D0F95E9e"
"(CADetector,HoneyBadger)MyCompanyWallet_0x78faF034C61F4158a4A12Bfa372187a21405Ae33"			"(CADetector,HoneyBadger)MyCompanyWallet_0x78faF034C61F4158a4A12Bfa372187a21405Ae33"	"(CADetector,HoneyBadger)R_0x57684f9059AfBF7BB11b07263500292aC9D78e7B"
"(CADetector,HoneyBadger)AddressLotteryV2_0xe19Ca313512e0231340e778Abe7110401C737c23"			"(CADetector,HoneyBadger)AddressLotteryV2_0xe19Ca313512e0231340e778Abe7110401C737c23"	"(CADetector,HoneyBadger)RouletteGame_0x062e659a3C8991bc1739E72c68EDB9ac7b5a8ca7"
"(CADetector,HoneyBadger)Multiplicator_0xdf77e4a81fbA17e0Cc39Dba521AA4167f388ed7C"			"(CADetector,HoneyBadger)Multiplicator_0xdf77e4a81fbA17e0Cc39Dba521AA4167f388ed7C"	"(CADetector,HoneyBadger)RouletteGame_0xb6F6f6F47e92E517876D30C04198F45A3bC1B281"
"(CADetector,HoneyBadger)SiriusFund_0x58978e8CaCcf56faDAA80Ef52f5c684045306839"			"(CADetector,HoneyBadger)SiriusFund_0x58978e8CaCcf56faDAA80Ef52f5c684045306839"	"(CADetector,HoneyBadger)R_0x611aE0Be21A9c0AB284A4A68c8C44843330072a7"
"(CADetector,HoneyBadger)PinCodeStorage_0x1EBf20031b03B80E5f6FdbEB9F86d44145224006"			"(CADetector,HoneyBadger)PinCodeStorage_0x1EBf20031b03B80E5f6FdbEB9F86d44145224006"	"(CADetector,HoneyBadger)R_0xD87EAAd7afB256C69526A490F402a658F12246Fd"
