CA-BG2	CA-FG2	CA-FG1	All	Remove duplicates
			(CADetector)Vault_0x91151ABe8cea8EE574B50cC01c18CE36cbbA3195	
			"(CADetector,HoneyBadger)QuestionGame_0x96fA4b2BEBbBc9fFdb7d64ed18058De27680752c"	
			"(CADetector,HoneyBadger)DivX_0xAa3a6f5bddD02A08C8651f7e285e2BEc33eA5e53"	
			"(CADetector,HoneyBadger)TronTronTron_0xcb71B51d9159a49050d56516737B4b497E98Bb99"	
			"(CADetector,HoneyBadger)MultiplicatorX2_0xE26E90598190a98C92c75204c9A4eCFe5983F8E0"	
			(CADetector)CraigHester_0x1d8cd6eAB10ab7d673fA7b4c5f93fe167953D4f9	
			(CADetector)EthVault_0xe78a4Ed7A2d50C7206fEa45dd7418B71a6dE943B	
			"(CADetector,HoneyBadger)Sandstone_0xaE3Bf0F077ED66DdA9Fb1B5475942c919ef3bb0D"	
			"(CADetector,HoneyBadger)MyCompanyWallet_0x787080326E1f7e0Eae490eFdB18E90cFD0aE2692"	
			"(CADetector,HoneyBadger)RichestTakeAll_0xe65C53087E1a40b7C53B9A0EA3C2562ae2DFEb24"	
			"(CADetector,HoneyBadger)TestBank_0x70C01853e4430cae353c9a7AE232a6a95f6CaFd9"	
			"(CADetector,HoneyBadger)LockedCash_0x81EDEfC64AaBdCe71f68347774bD4673D1D31419"	
			"(CADetector,HoneyBadger)WalletWithEmergencyTransfer_0x98FE1D52649A3A13863647C6789F16E46e090377"	
			(CADetector)SimpleEthBank_0x2C9eb11Db6B0dcb18FE8644003EE53f6B4588341	
